fid,id_class,id_name,area,perimeter
5,"3",Coniferous Trees,1.646240234375000,6.625138379907167
6,"2",Broadleaf Trees,155.955078125000000,49.615127410116109
8,"1",Grass,8263.990234375000000,453.720258629692694
16,"3",Coniferous Trees,2.468994140625000,6.352718370258827
19,"3",Coniferous Trees,35.387939453125000,37.819561339907779
21,"1",Grass,456.207275390625000,94.941761421005893
22,"1",Grass,146.079833984375000,45.317323049868364
23,"3",Coniferous Trees,325.901367187500000,99.968720682917890
24,"2",Broadleaf Trees,148.548583984375000,46.931903078144600
27,"2",Broadleaf Trees,133.871826171875000,48.440380682490542
28,"3",Coniferous Trees,34.565185546875000,28.351661767925350
29,"3",Coniferous Trees,1.645751953125000,6.625138380128050
30,"3",Coniferous Trees,7.406982421875000,10.978233114200476
31,"2",Broadleaf Trees,176.392822265625000,79.027443170692422
36,"2",Broadleaf Trees,15.087646484375000,18.862526857569655
40,"1",Grass,4.251708984375000,11.667034221629120
42,"1",Grass,0.548828125000000,2.962851921845572
43,"3",Coniferous Trees,88.196289062500000,37.772727063171303
45,"2",Broadleaf Trees,79.280761718750000,37.871121977283579
50,"1",Grass,336.738037109375000,70.825978713507197
57,"1",Grass,11818.590820312500000,593.033906543591797
59,"2",Broadleaf Trees,294.217041015625000,65.019618647784981
63,"3",Coniferous Trees,63.781250000000000,33.051628245971060
64,"3",Coniferous Trees,0.548828125000000,2.962851921845572
67,"1",Grass,0.548339843750000,2.962851921845572
68,"1",Grass,1607.013183593750000,204.642715191893558
72,"3",Coniferous Trees,120.155029296875000,51.534942605720438
77,"1",Grass,296.410888671875000,84.059118917088085
78,"2",Broadleaf Trees,34.154052734375000,28.940648774790215
80,"2",Broadleaf Trees,12.756591796875000,14.799448397181759
81,"1",Grass,903.223144531250000,114.888334730149410
83,"1",Grass,268.703369140625000,79.053274537690541
84,"2",Broadleaf Trees,17.008544921875000,15.644781518619055
85,"2",Broadleaf Trees,19.203125000000000,17.152582615823125
86,"2",Broadleaf Trees,30.039062500000000,23.599994430463237
87,"3",Coniferous Trees,2.743164062500000,10.682714666094423
89,"1",Grass,588.158691406250000,106.364215850809330
90,"2",Broadleaf Trees,58.432373046875000,50.715982512363453
92,"2",Broadleaf Trees,153.075195312500000,53.064399469456333
95,"2",Broadleaf Trees,41.560546875000000,23.788607194627616
98,"3",Coniferous Trees,2.743652343750000,7.985574920419481
99,"1",Grass,1002.943603515625000,156.632377308082397
100,"1",Grass,1110.479980468750000,130.059748033192079
101,"2",Broadleaf Trees,4096.128417968750000,559.015391654559266
103,"3",Coniferous Trees,105.616455078125000,39.906460427961818
104,"2",Broadleaf Trees,676.631835937500000,118.000768522714068
105,"2",Broadleaf Trees,75.988037109375000,35.513702642902864
106,"3",Coniferous Trees,619.706298828125000,163.960791445127541
109,"2",Broadleaf Trees,2.057373046875000,6.045905013016764
110,"2",Broadleaf Trees,10.973144531250000,16.255530264567902
112,"2",Broadleaf Trees,1.097167968750000,4.684680261403611
114,"1",Grass,562.783935546875000,99.541595413417454
117,"2",Broadleaf Trees,20.025634765625000,21.889695868349857
122,"2",Broadleaf Trees,0.548583984375000,2.962851921845572
123,"3",Coniferous Trees,1229.951416015625000,184.428010602163624
124,"1",Grass,631.503173828125000,140.353967182181236
